Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Higher Power,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Homecoming,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Hot in Herre,,,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Houston #1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
How You See the World No. 2,,,0,0,0,0,0,0,22,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Human Heart,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Hung Up,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hungry Heart,,,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Hunting High and Low,,,0,0,0,1,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Hurts Like Heaven,,,0,0,0,0,0,0,0,0,0,0,0,0,47,117,117,117,117,117,117,117,117,117
Hymn for the Weekend,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,137,137,137,137
Hypnotised,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
I Bloom Blaum,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I Hear Noises,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I Left My Heart in San Francisco,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I'm a Believer,,,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39
Idiot,,,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
If All Else Fails,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ik hou van jou,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Imagine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
In My Place,,,0,0,18,76,162,256,357,408,419,502,585,596,640,708,708,708,708,739,790,790,790,790
In the Sun,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ink,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,24,25,25,25,25
It Takes More,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jehovah,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jersey Girl,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Jingle Bells,,,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6
Johnny B. Goode,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
Just a Little Bit of Your Heart,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Känn ingen sorg för mig Göteborg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Ladder to the Sun,,,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Let Somebody Go,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Life in Technicolor,,,0,0,0,0,0,0,0,0,0,84,167,175,175,175,175,175,175,175,175,175,175,175
Life in Technicolor ii,,,0,0,0,0,0,0,0,0,0,16,98,106,106,106,106,106,106,106,106,106,106,106
Life Is Beautiful,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
Life Is for Living,,,0,0,0,0,63,79,79,79,79,79,79,79,102,102,102,103,103,103,103,103,103,103
Life on Mars?,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Life's an Ocean,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lips Like Sugar,,,0,0,0,0,12,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22
Live Forever,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lost Highway,,,0,0,0,38,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Lost!,,,0,0,0,0,0,0,0,0,0,90,172,182,216,217,217,217,217,217,217,217,217,217
